i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,method,n_anchors
0.3,0.3,0.4,0.2,1.2,2.5,FMap (ours),5
0.1,0.1,0.1,0.1,0.5,1.0,Raw Cosine,0
0.8,0.8,1.0,0.5,1.4000000000000001,2.1999999999999997,Procrustes,5
0.8,0.8,1.0,0.4,1.5,2.6,Relative Reps,5
0.8,0.8,1.6,0.4,3.1,5.800000000000001,FMap (ours),10
1.0,1.0,1.4000000000000001,1.0,2.6,4.6,Procrustes,10
1.0,1.0,1.7000000000000002,0.8999999999999999,3.0,5.0,Relative Reps,10
0.8999999999999999,0.8999999999999999,2.1,0.8,4.5,8.1,FMap (ours),20
2.1,2.1,3.2,2.0,5.7,10.4,Procrustes,20
3.4000000000000004,3.4000000000000004,5.0,3.5000000000000004,9.3,14.099999999999998,Relative Reps,20
0.0,0.0,0.3,0.1,0.4,1.0,CCA,20
1.3,1.3,2.4,0.8999999999999999,5.0,8.7,FMap (ours),50
6.800000000000001,6.800000000000001,9.8,5.3,14.099999999999998,22.3,Procrustes,50
8.799999999999999,8.799999999999999,13.5,8.9,22.0,31.7,Relative Reps,50
0.2,0.2,0.2,0.2,0.5,1.0,CCA,50
2.1999999999999997,2.1999999999999997,3.9,1.9,9.3,15.0,FMap (ours),100
12.1,12.1,15.9,10.8,23.0,32.9,Procrustes,100
13.4,13.4,19.0,12.1,27.500000000000004,36.7,Relative Reps,100
0.1,0.1,0.2,0.1,0.5,0.8999999999999999,CCA,100
4.3,4.3,8.9,6.1,17.9,25.900000000000002,FMap (ours),500
55.50000000000001,55.50000000000001,63.1,54.400000000000006,69.5,78.0,Procrustes,500
26.6,26.6,34.599999999999994,26.700000000000003,50.9,62.3,Relative Reps,500
0.0,0.0,0.1,0.1,0.4,0.8999999999999999,CCA,500
0.7000000000000001,0.7000000000000001,1.0999999999999999,0.4,1.7000000000000002,3.2,FMap Unsupervised (HKS),0
79.5,95.0,98.1,58.8,83.42,90.02,CLIP (clip-vit-base-patch32),400M (trained)
